i_ind,treat,day,rep,string,i_treatday,ncell,V_oc_max,V_oc_last,V_ns_max,V_ns_last,V_ns_diff,min_pos,V_min_oc,V_min_ns,V_min_diff,eq_pos,V_eq,inc_o,inc_n
0,cont,0,1,1,0,13,399.38752363244953,399.38752363244953,211.13856776159895,51.89730275004664,159.24126501155231,7.194444444444445,91.51061716594589,140.96926308048168,-49.45864591453579,3.4022994603765393,209.5130095237991,14.0,12.864450506807312
1,cont,0,1,2,0,11,282.6340688800238,282.6340688800238,222.19085924109936,211.30452620740516,10.8863330336942,5.0625,74.69976164088277,135.98981384153322,-61.29005220065045,1.1048242080635928,212.17491208186303,9.789131983759592,8.728082461550828
2,cont,0,1,3,0,15,327.2778998356218,327.2778998356218,203.2059110224052,199.36940852092422,3.8365025014809646,5.800000000000001,61.37780581946515,121.49705570773241,-60.11924988826726,2.1103770958198327,175.15862930357787,9.1551236933181,8.187086145335844
3,cont,0,2,1,0,16,500.4101941929053,500.4101941929053,261.89322685832366,75.62527396521166,186.267952893112,5.666666666666667,81.57714201786192,151.71495501792546,-70.13781300006355,2.787094388991193,231.75997213811172,9.47630044180084,8.676855637962163
4,cont,0,2,2,0,14,511.38591701558374,511.38591701558374,252.81680088447473,97.1418245304799,155.67497635399485,5.526315789473684,73.45243553555215,138.07252105978915,-64.620085524237,2.897962252776338,207.50680616302049,8.676126481011496,7.944465557455677
5,cont,0,3,1,0,14,408.1365994567988,408.1365994567988,212.18653051361647,107.68533782054543,104.50119269307105,6.315789473684211,63.78707099599388,123.08319645921799,-59.29612546322411,2.7777115103086234,184.59431048667446,9.643767138278156,8.751739526399897
6,cont,0,4,1,0,19,395.49867287967027,395.49867287967027,237.9992271303455,145.22129359708023,92.77793353326527,6.875,73.99024735137027,120.57281998635702,-46.58257263498675,3.0490287327396004,195.35088265763704,11.705235191921963,10.612285560279489
7,cont,0,4,2,0,15,437.0447243937141,437.0447243937141,241.8191572581323,132.14854567898368,109.67061157914861,8.0,71.60643267875898,113.95031406244352,-42.34388138368455,4.031002004713672,184.37063834111586,13.012092113177049,11.82057544602912
8,cont,0,4,3,0,16,424.8155106688556,424.8155106688556,244.6836074536865,99.29368686811087,145.38992058557562,7.488095238095238,76.56765434141353,125.14257732682756,-48.574922985414034,3.5437051144508374,199.72147968233315,12.835103019269468,11.640924217664754
9,caged,4,1,1,1,18,375.24350154825004,375.24350154825004,238.22933588795328,51.0550856073813,187.17425028057198,4.956521739130435,78.3001639501698,157.5919259155282,-79.2917619653584,1.594352939256731,236.312453587099,9.018284803457977,8.129779383985536
