i_ind,treat,day,rep,string,i_treatday,ncell,V_oc_max,V_oc_last,V_ns_max,V_ns_last,V_ns_diff,min_pos,V_min_oc,V_min_ns,V_min_diff,eq_pos,V_eq,inc_o,inc_n
0.0,cont,0.0,1.0,1.0,0.0,13.0,372.03107120200104,372.03107120200104,200.263686327627,56.24713748828584,144.01654883934117,6.0,111.89589108661835,173.89047840094915,-61.9945873143308,3.6936220932661974,196.19988294797548,12.0,8.829212980142412
1.0,cont,0.0,1.0,2.0,0.0,11.0,275.69843247705995,275.69843247705995,208.36186998362166,208.36186998362166,0.0,3.0,122.16515667702849,185.62007851593148,-63.45492183890299,1.2379765579568012,201.7189770472533,9.045614888771517,4.724431503798726
2.0,cont,0.0,1.0,3.0,0.0,15.0,331.97858250479817,331.97858250479817,198.74839440651107,198.74839440651107,0.0,6.0,61.30731320409072,128.71207672584782,-67.4047635217571,1.9560650431500362,170.48558589625907,13.113217383844525,5.599822765567119
3.0,cont,0.0,2.0,1.0,0.0,16.0,495.02166535528283,495.02166535528283,250.00431920109108,71.32058717939474,178.68373202169636,6.0,74.55292797042185,139.81905286939843,-65.26612489897659,2.7015971668490124,233.67084213049992,14.894933788099474,8.644569428130369
4.0,cont,0.0,2.0,2.0,0.0,14.0,504.13235108219874,504.13235108219874,250.02991760519927,95.89347343679405,154.1364441684052,6.0,67.88963428149869,134.1870639638954,-66.29742968239673,2.5678464857757315,221.33135110954726,13.0,7.630905384748252
5.0,cont,0.0,3.0,1.0,0.0,14.0,413.87308564644155,413.87308564644155,213.60627560885703,104.0397620474507,109.56651356140634,6.0,69.90845795143343,137.53368011778662,-67.62522216635318,2.835917503986639,178.10885432942942,13.0,6.77020427624212
6.0,cont,0.0,4.0,1.0,0.0,19.0,388.3441966282763,388.3441966282763,240.71115786232158,146.40864505167804,94.30251281064355,5.0,105.48048650193472,154.96115791900598,-49.480671417071264,3.3434639318099424,186.42991683805428,18.0,14.045278455150076
7.0,cont,0.0,4.0,2.0,0.0,15.0,418.96140219636976,403.8629103644498,239.47108358551452,131.92754991415077,107.54353367136375,8.0,68.13913580035909,114.74058630941825,-46.60145050905916,3.6547897531171794,192.34632759837638,9.571406178608317,7.956847345780797
8.0,cont,0.0,4.0,3.0,0.0,16.0,409.7182066658372,409.7182066658372,241.16434916445323,97.16981069570785,143.99453846874536,8.0,73.26204205946324,128.07102344302496,-54.808981383561715,3.384791855036269,201.18166362401462,14.41090044900457,9.787558186883548
9.0,caged,4.0,1.0,1.0,1.0,18.0,405.14280832646546,405.14280832646546,231.98236615709155,53.44803704180563,178.5343291152859,4.0,109.59137816731432,182.41355292043272,-72.8221747531184,1.4176876762892312,229.88790216911082,11.626830980711574,7.2865130289942925
10.0,caged,4.0,1.0,2.0,1.0,15.0,357.0142530966511,357.0142530966511,230.85878574785505,30.869773143954017,199.98901260390105,4.0,111.15642872574364,193.5984464154806,-82.44201768973696,2.0870784789862613,228.3225541336647,13.806093602157587,13.36941488173552
11.0,caged,4.0,2.0,1.0,1.0,11.0,303.7619783191016,303.7619783191016,206.7713006427626,58.04276620134514,148.72853444141748,4.0,88.70892016260615,139.77679805174412,-51.067877889137975,1.718756135996873,188.89341294824018,9.653699126101888,6.127236384356158
12.0,caged,4.0,2.0,2.0,1.0,10.0,312.9427903864215,312.9427903864215,199.92304405399634,108.83131498120723,91.09172907278911,9.0,27.91957036518991,74.72853273456802,-46.80896236937811,1.38087009568377,195.24602509400717,8.803540935143486,5.5565114556185105
13.0,caged,4.0,2.0,3.0,1.0,10.0,280.9441955919194,280.9441955919194,181.142956354767,179.03151762632265,2.111438728444341,5.0,53.947706333668336,107.22773808325232,-53.28003174958398,0.9698950734913716,181.07939164701972,8.275166439614393,4.58494770252123
14.0,caged,4.0,2.0,4.0,1.0,12.0,295.0979585870583,280.1003142278578,192.69696709918762,67.51915373669473,125.17781336249288,5.0,83.47496707529685,123.9461711618964,-40.471204086599556,2.4776210436944526,185.33656218320235,10.25855739755643,6.020005156435073
15.0,caged,4.0,2.0,5.0,1.0,12.0,305.3100890323602,305.3100890323602,174.94515327756986,64.57441809160888,110.37073518596098,6.0,61.42495616166374,109.16560899057849,-47.740652828914754,1.9587399609722935,172.6470713292981,8.876259651620167,6.115722136550243
16.0,caged,4.0,3.0,1.0,1.0,14.0,363.8327366472832,363.8327366472832,235.7009815683642,100.78605348195791,134.9149280864063,5.0,94.89051838554,170.99021804720869,-76.09969966166868,1.8951194698778315,207.36163617978158,11.11806325080846,9.687397291771424
17.0,caged,4.0,3.0,2.0,1.0,15.0,348.4748189115494,348.4748189115494,199.85221239107952,104.26500860682457,95.58720378425495,4.0,56.77375492552969,141.12184632513586,-84.34809139960618,0.8591728546527401,186.3909393504161,13.753234525543654,6.94006102609696
18.0,caged,4.0,3.0,3.0,1.0,13.0,322.38452604075724,291.2929737658757,192.8338921903695,50.83042520953529,142.00346698083422,5.0,65.27393843584126,133.80168560447,-68.52774716862875,2.3960142612529287,190.082837212137,11.367415840203478,7.864419950417134
19.0,caged,4.0,3.0,4.0,1.0,16.0,297.72208283945184,297.72208283945184,203.77400983863524,31.307037411239126,172.46697242739612,5.0,69.87126402230702,135.64222160202004,-65.77095757971303,1.7074717209709398,195.92250534038436,14.7903593801441,12.020318499165592
20.0,caged,4.0,4.0,1.0,1.0,15.0,302.79503661838453,302.79503661838453,171.49896619299994,59.516699510338675,111.98226668266128,6.0,64.23762455017973,117.62571091483548,-53.38808636465575,2.2572296686068802,167.23234413849514,14.0,6.136639785702394
21.0,caged,4.0,4.0,2.0,1.0,16.0,343.76761833751203,343.76761833751203,162.32656603914546,85.45170663184406,76.8748594073014,4.0,76.948480421715,128.1100454966882,-51.1615650749732,1.8497030015433569,147.56106681381308,15.0,5.780403554696404
22.0,caged,4.0,4.0,3.0,1.0,13.0,364.66927657171027,364.66927657171027,166.78898508307344,61.71251741346174,105.0764676696117,10.0,30.955175581660804,76.7955813358891,-45.84040575422829,2.3610287577121873,165.0389567340697,9.48905759955107,6.791386904674722
23.0,caged,4.0,4.0,4.0,1.0,16.0,221.0483018593756,221.0483018593756,158.600079401121,149.6166037999318,8.983475601189213,3.0,78.44529414101335,126.0354339048294,-47.590139763816055,0.9019217979367573,157.71899626587737,14.757988751243872,5.839194425311111
24.0,caged,4.0,5.0,1.0,1.0,12.0,346.08238515959044,259.4815224179531,199.43085429807405,74.10220860359772,125.32864569447634,4.0,63.28268156815047,106.96498311567377,-43.6823015475233,2.17388755526254,196.14361457178757,10.41036964534183,6.216759876641172
25.0,caged,4.0,5.0,2.0,1.0,12.0,314.329037266508,297.83891050289003,146.65601153478428,51.98220139493877,94.67381013984551,5.0,41.57856004003641,80.92202313425672,-39.34346309422031,1.891987378271525,142.6850209193625,7.4776069874520195,4.895063613733244
26.0,caged,4.0,5.0,3.0,1.0,13.0,290.23958669020413,290.23958669020413,180.96453772261026,62.393742757731985,118.57079496487827,3.0,118.56377815765507,165.65927714615032,-47.09549898849525,10.012419203837382,40.62338270329613,11.872509923551899,8.599928631305849
27.0,caged,4.0,5.0,4.0,1.0,10.0,280.9871962486995,260.75048347205023,194.92842964164223,39.16770714131827,155.76072250032396,4.0,69.55842430273131,113.72844660239781,-44.1700222996665,9.0,44.13179625116233,8.135540350170068,9.0
28.0,caged,7.0,1.0,1.0,2.0,16.0,311.191382563152,272.89201566465664,223.1531244787955,69.28729559235565,153.86582888643983,3.0,96.87898179693788,148.5833560688734,-51.70437427193552,1.6675399504415758,217.3163350292419,14.018320825089628,7.973824490964794
29.0,caged,7.0,1.0,2.0,2.0,16.0,265.65955223034035,265.65955223034035,233.34780207805576,51.23332515939241,182.11447691866334,3.0,86.31405799937492,149.22833041005205,-62.91427241067713,0.9772040768165916,229.19633445163132,13.415853229724284,8.959727193700141
30.0,caged,7.0,1.0,3.0,2.0,13.0,314.7591572101604,314.7591572101604,247.35453670195503,247.35453670195503,0.0,2.0,102.38589848469518,178.97524278335234,-76.58934429865717,0.6337550161947119,236.27544249002477,12.0,8.286511116054188
31.0,caged,7.0,2.0,1.0,2.0,5.0,238.29557787903394,238.29557787903394,224.91853208546596,224.91853208546596,0.0,1.0,101.49050996081546,158.1901132586298,-56.699603297814335,0.19089163033643153,212.180635425839,3.6696975196914905,1.8303798255969965
32.0,caged,7.0,2.0,2.0,2.0,5.0,343.2644674270562,343.2644674270562,206.58748466858995,206.58748466858995,0.0,1.0,108.64117503870622,170.93720147970467,-62.296026440998446,0.686912176221105,182.09887106041407,3.5130863103008374,1.7463430962986008
33.0,caged,7.0,2.0,3.0,2.0,5.0,257.5165864598249,257.5165864598249,212.01497909015475,212.01497909015475,0.0,1.0,104.20384508106453,151.5646150161345,-47.36076993506997,0.489989688938833,182.39492400128637,3.7293041975137733,1.8900259505407706
34.0,caged,7.0,2.0,4.0,2.0,7.0,204.78722675961745,204.78722675961745,213.37448734303652,213.37448734303652,0.0,1.0,90.86690900631056,149.61521495570284,-58.748305949392275,6.0,31.7256616085665,4.379046735213617,3.028837996164894
35.0,caged,7.0,3.0,1.0,2.0,9.0,323.5130037824414,323.5130037824414,147.55035152346622,142.68394509232377,4.866406431142451,2.0,65.78390821792598,124.52902930458569,-58.74512108665971,0.9203122102002319,147.1625583507011,6.175345131267688,5.586104172940745
36.0,caged,7.0,3.0,2.0,2.0,12.0,244.94190167039633,244.94190167039633,138.142240759087,82.64453320140248,55.49770755768452,2.0,74.94813860559891,133.5797456124455,-58.63160700684658,0.9820182611165594,137.14429547315518,10.733935407031682,4.496584869307847
37.0,caged,7.0,3.0,3.0,2.0,14.0,233.43236187763873,233.43236187763873,155.732262452017,155.732262452017,0.0,3.0,28.894665083263686,94.62195633107225,-65.72729124780857,0.7160846429742862,142.7947494287598,11.597266179459332,7.429671889215421
38.0,caged,7.0,3.0,4.0,2.0,10.0,288.6369037985878,288.6369037985878,131.39702975458266,77.22771648108497,54.16931327349769,4.0,42.21231668253167,98.18019656502244,-55.96787988249077,1.8152614093669754,128.93238467901642,8.137431472203172,3.5661402350433233
39.0,caged,7.0,4.0,1.0,2.0,13.0,458.30222124171553,458.30222124171553,193.96544245584738,84.37512460803552,109.59031784781186,2.0,81.98005144441565,150.15005025387214,-68.16999880945649,0.9231862983789848,185.54740448013334,11.824254997690167,7.629595491365991
40.0,caged,7.0,4.0,2.0,2.0,15.0,355.58725175673646,355.58725175673646,202.84593325795555,87.93802663287664,114.90790662507891,4.0,54.10315211243738,105.1143937264938,-51.01124161405642,1.2909894035759324,191.33898359831315,13.636408797391393,10.090384281454611
41.0,caged,7.0,4.0,3.0,2.0,12.0,413.50011503912833,413.50011503912833,204.54743170221215,204.54743170221215,0.0,5.0,39.51109729677146,79.11543396930028,-39.604336672528824,1.5310845680079017,149.4451285499537,10.799466464781906,6.444171117924462
42.0,caged,7.0,4.0,4.0,2.0,14.0,371.02648115013005,371.02648115013005,195.8310625066203,131.05655038484787,64.77451212177243,2.0,79.2312107810457,137.30118311011134,-58.069972329065635,0.8372061068393671,185.28616750073635,11.681843971843579,8.104937902620362
43.0,caged,7.0,5.0,1.0,2.0,17.0,310.0857338132724,310.0857338132724,170.99104876634158,169.91216828378788,1.0788804825537,2.0,94.790715755777,146.3124502967255,-51.5217345409485,8.000593489517296,50.92336103314747,16.0,8.841843356597206
44.0,caged,7.0,5.0,2.0,2.0,13.0,360.36715499977765,360.36715499977765,206.57453107487333,82.34702938565259,124.22750168922074,2.0,107.2450572982719,154.81326124439244,-47.56820394612053,0.9180463789631204,196.3936374790766,11.602190492263961,5.700073233983729
45.0,caged,7.0,5.0,3.0,2.0,15.0,319.6062033576221,319.6062033576221,205.1701179834588,111.63004223247152,93.54007575098727,4.0,52.81967222587333,98.17928945272973,-45.3596172268564,1.239722424380116,193.16016006518637,12.720808046527402,9.52246043420763
