string,bead,code,Volume
1,1,o,6647287.492
1,2,n,103381.562
1,3,o,2803364.339
1,4,n,662432.201
1,5,o,429411.072
1,6,n,443063.045
1,7,o,154964.181
1,8,n,305263.121
1,9,o,56337.900
1,10,n,181482.766
1,11,o,19459.298
1,12,n,92467.957
1,13,o,14986.343
1,14,n,53311.864
1,15,o,10570.426
1,16,n,43218.149
1,17,o,8328.417
1,18,n,28789.589
1,19,o,3940.732
1,20,n,16939.541
1,21,o,1111.562
1,22,n,12908.579
1,23,o,332.877
1,24,n,7113.081
1,25,o,455.918
1,26,n,6331.917
1,27,o,216.513
1,28,n,4454.641
1,29,o,157.377
1,30,n,2086.539
1,31,o,101.866
1,32,n,1782.849
2,1,o,6303129.620
2,2,n,225019.676
2,3,o,1526831.423
2,4,n,691352.653
2,5,o,417103.199
2,6,n,512833.544
2,7,o,136385.053
2,8,n,340095.434
2,9,o,59302.129
2,10,n,150015.279
2,11,o,22096.182
2,12,n,79844.374
2,13,o,9877.775
2,14,n,53581.409
2,15,o,6536.603
2,16,n,32954.656
2,17,o,4326.069
2,18,n,20155.574
2,19,o,4818.040
2,20,n,15583.043
2,21,o,1431.277
2,22,n,9577.708
2,23,o,1079.514
2,24,n,5594.627
2,25,o,276.031
2,26,n,2895.937
2,27,o,478.046
2,28,n,3138.203
2,29,o,596.699
2,30,n,1442.913
2,31,o,290.719
2,32,n,921.755
2,33,o,188.090
2,34,n,671.859
