string,bead,code,Volume
1,1,o,2479715.902
1,2,n,80722.827
1,3,o,325732.306
1,4,n,895078.295
1,5,o,55122.564
1,6,n,452628.354
1,7,o,18293.751
1,8,n,185745.311
1,9,o,12675.469
1,10,n,65497.461
1,11,o,14745.031
1,12,n,42699.280
1,13,o,8533.485
1,14,n,23282.331
1,15,o,4674.588
1,16,n,17889.338
1,17,o,5254.310
1,18,n,13408.944
1,19,o,2083.869
1,20,n,6643.429
1,21,o,680.443
1,22,n,7929.155
1,23,o,992.909
1,24,n,5456.135
1,25,o,266.683
1,26,n,4282.575
2,1,o,4691598.011
2,2,n,200405.073
2,3,o,193381.649
2,4,n,937863.990
2,5,o,32726.125
2,6,n,282047.366
2,7,o,12191.128
2,8,n,137104.793
2,9,o,7857.620
2,10,n,56440.147
2,11,o,6050.354
2,12,n,29759.035
2,13,o,6991.376
2,14,n,18588.476
2,15,o,6427.106
2,16,n,12286.509
2,17,o,1334.370
2,18,n,8297.323
2,19,o,2251.357
2,20,n,8889.635
2,21,o,684.449
2,22,n,5868.178
3,1,o,1661563.917
3,2,n,41230.614
3,3,o,987511.152
3,4,n,1222389.717
3,5,o,70693.589
3,6,n,559728.412
3,7,o,27184.530
3,8,n,193742.949
3,9,o,9071.239
3,10,n,94807.636
3,11,o,4887.668
3,12,n,43541.297
3,13,o,5957.453
3,14,n,20910.986
3,15,o,4512.251
3,16,n,14379.915
3,17,o,8169.895
3,18,n,11758.293
3,19,o,2598.350
3,20,n,9901.429
3,21,o,1208.659
3,22,n,7270.268
3,23,o,1770.068
3,24,n,6603.178
3,25,o,1475.724
3,26,n,9441.696
4,1,o,1749753.114
4,2,n,9059.412
4,3,o,887320.062
4,4,n,898191.126
4,5,o,155671.903
4,6,n,579920.421
4,7,o,33123.861
4,8,n,234267.559
4,9,o,10821.276
4,10,n,82907.417
4,11,o,1009.696
4,12,n,51170.386
4,13,o,4014.366
4,14,n,26819.414
4,15,o,12748.531
4,16,n,25531.780
