string,bead,code,Volume
1,1,o,215688131.112
1,2,n,745400.853
1,3,o,199890540.917
1,4,n,6208943.101
1,5,o,105261771.385
1,6,n,33643039.669
1,7,o,54499137.001
1,8,n,32843688.667
1,9,o,24013713.259
1,10,n,31112461.459
1,11,o,12034606.955
1,12,n,29093072.818
1,13,o,5868552.941
1,14,n,22025005.026
1,15,o,4009903.758
1,16,n,14416947.393
1,17,o,1625329.132
1,18,n,9468464.865
1,19,o,1046613.364
1,20,n,6238744.484
1,21,o,377272.577
1,22,n,3118609.200
1,23,o,237886.096
1,24,n,1642518.951
1,25,o,655166.512
1,26,n,1903210.859
2,1,o,87779176.038
2,2,n,37891635.297
2,3,o,41499763.661
2,4,n,36719492.303
2,5,o,17128116.372
2,6,n,27567354.292
2,7,o,7637138.704
2,8,n,26789429.520
2,9,o,4375626.925
2,10,n,16637486.218
2,11,o,2733510.860
2,12,n,11077202.404
2,13,o,1655093.890
2,14,n,8024629.945
2,15,o,1575444.473
2,16,n,5061827.897
2,17,o,628637.054
2,18,n,2073448.669
2,19,o,216130.232
2,20,n,3216876.851
2,21,o,139484.149
2,22,n,2061594.042
3,1,o,153256466.435
3,2,n,32885124.921
3,3,o,55090855.011
3,4,n,29569601.949
3,5,o,19675310.594
3,6,n,20400164.241
3,7,o,8220322.849
3,8,n,15821848.839
3,9,o,5756709.239
3,10,n,15786907.601
3,11,o,1909449.493
3,12,n,8293941.179
3,13,o,965218.106
3,14,n,8931954.498
3,15,o,779572.944
3,16,n,5250806.028
3,17,o,548706.837
3,18,n,3654496.925
3,19,o,520871.051
3,20,n,3798144.233
3,21,o,451452.506
3,22,n,1991040.090
3,23,o,258665.267
3,24,n,1707163.903
3,25,o,136724.988
3,26,n,1269104.317
3,27,o,204300.023
3,28,n,1094349.296
3,29,o,127837.070
3,30,n,849748.426
